"entity_name","entity_id","pitch_hand","active_spin_fourseam","active_spin_sinker","active_spin_cutter","active_spin_changeup","active_spin_splitter","active_spin_curve","active_spin_slider","active_spin_sweeper","active_spin_slurve"
"Robertson, David",502085,"R",,"75","64.5",,,"66.3","45",,
"Matz, Steven",571927,"L",,"99.5",,"81.8",,"81.1","37.1",,
"Hoeing, Bryan",663773,"R",,"94.5",,,"86.9",,"32.9",,
"Mantiply, Joe",573009,"L",,"90.3",,"98.5",,"50.7",,,
"Doval, Camilo",666808,"R",,"49","55",,,,"40",,
"Roberts, Ethan",681799,"R",,,"47.6",,,,,"70.4",
"Burnes, Corbin",669203,"R",,"74","62","77.7",,"70.7","37.8",,
"Backhus, Kyle",679775,"L",,"96",,"98.2",,,,"48.4",
"Rogers, Taylor",573124,"L",,"89.3",,,,,,"67.3",
"Burgos, Juan",686228,"R",,"69.3","32.6",,,,,"55",
"Mey, Luis",682825,"R",,"72.3",,,,,"32.2",,
"Garcia, Brandyn",805299,"L",,"85.2",,,,,"20.5","65.7",
"O'Brien, Riley",676617,"R",,"85",,,,,"23.7","67.4",
"Ashcraft, Graham",668933,"R",,,"48.1",,,,"37.7",,
"Priester, Quinn",682990,"R",,"81.3","62.2","96.4",,"55.7","28.5",,
"Bird, Jake",656234,"R",,"73.6","54.4",,,"85.5",,"53",
"Thomas, Connor",671162,"L",,"73.5","14","81.2",,,,"59.1",
"Leiter Jr., Mark",643410,"R",,"92.8","59.7",,"86.6","97.7","38.5",,
"Darrell-Hicks, Michael",690382,"R",,"85.1","36.4",,,,,"55.8",
"McDaniels, Garrett",680729,"L",,"66",,,,,"19.5",,
"Ginn, J.T.",669372,"R",,"74.8","63.5","77.4",,,"22",,
"Spence, Mitch",687765,"R",,"52.3","27.1","65.6",,"68.7","50.2",,
"Mederos, Victor",682989,"R",,"90.8","37","97.7",,,,"43.3",
"Sánchez, Cristopher",650911,"L",,"92.7",,"84.6",,,"21.5",,
"Dodd, Dylan",689266,"L",,"98.2","48.2","62.2",,,"13.9",,
"Bachman, Sam",696147,"R",,"95.4",,"85.9",,,"17.9",,
"Johnson, Ryan",696270,"R",,"67.6","42.4",,"82.4",,"43.4","53",
"Guenther, Sean",674944,"L",,"76.1",,,"98.2",,"69.9",,
"Alexander, Scott",518397,"L",,"76.3",,"67.4",,,"32.1",,
"Young, Danny",664849,"L",,"85.3",,,,,,"57.3",
"Mayza, Tim",641835,"L",,"87.3",,,,,"15.8",,
"Dunning, Dane",641540,"R",,"86.3","70.8","99.1",,"99.3","41.6",,
"Hjelle, Sean",663546,"R",,"70.9","44",,,"52.1",,,
"Brubaker, JT",664141,"R",,"86.2",,"84.6",,"49.3","12.9",,
"Hader, Josh",623352,"L",,"99.5",,"93.3",,,"18.2",,
"Suero, Wander",593833,"R",,,"79.6","92.5",,,,,
"Walker, Ryan",676254,"R",,"78",,,,,"52.7",,
"Hagenman, Justin",663795,"R",,"96.2","51.2","94.2",,,"24.5",,
"Topa, Justin",623437,"R",,"89.5","41.9","81.1",,,,"46",
"Valdez, Framber",664285,"L",,"75.4",,"77.6",,"82.3","29.3",,
"Bautista, Félix",642585,"R",,"99.4",,,"97.3",,"36.2",,
"Chavez, Jesse",445926,"R",,"90.1","69.9","95",,,,,
"Fluharty, Mason",689254,"L",,,"42.2",,,,,"57.4",
"Alvarado, José",621237,"L",,"94.1","40.3",,,"49.4",,,
"Santos, Gregory",666619,"R",,"57.4",,,,,"40.4",,
"Criswell, Cooper",681867,"R",,"74.4","44.8","87",,,,"74.9",
"McDonald, Trevor",686790,"R",,"85.6","30.9","96.8",,,"31.3",,
"Peguero, Elvis",665625,"R",,"91.9",,,,,"27.1",,
"Bruihl, Justin",677865,"L",,"80","29.1",,,,,"65.2",
"Whitlock, Garrett",676477,"R",,"99.4",,"86",,,"53.3","54.9",
"Jansen, Kenley",445276,"R",,"96.1","81.8",,,,"41.9","43.6",
"Nance, Tommy",667297,"R",,"83.6",,,,"78.7","14.6",,
"Rogers, Tyler",643511,"R",,"73.6",,,,,"59.3",,
"Raley, Brooks",548384,"L",,"77.5","37.6","86.9",,,,"51.9",
"McFarland, T.J.",519008,"L",,"90.3",,"93",,,,"66.4",
"Little, Brendon",663893,"L",,"70.6","41",,,"76.4",,,
"Bernardino, Brennan",657514,"L",,"75.5","25.8","88.9",,"54.4","16.8",,
"Tate, Dillon",622253,"R",,"92.2",,"68.4",,,,"35.9",
"Borucki, Ryan",621366,"L",,"95.4",,,"89.9",,"15.7","46.6",
"Saucedo, Tayler",642048,"L",,"87.1",,"95.4",,,"27.4","47.4",
"Pop, Zach",647315,"R",,"85","51.7",,,,"45.8",,
"Misiewicz, Anthony",664948,"L",,,"35.7","79.2",,"74.5",,,
"Maton, Phil",664208,"R",,"72","60.5",,,"91.8",,"43.7",
"Funderburk, Kody",681892,"L",,"79.2","63.5","85",,,"26.9","59",
"Clase, Emmanuel",661403,"R",,,"64.3",,,,"40.3",,
"Murdock, Noah",668716,"R",,"68.5","23.9",,,,,"55.3",
"Miller, Shelby",571946,"R","99.7",,,,"88.8",,,"46.1",
"Mahle, Tyler",641816,"R","99.7",,"46.7",,"91.1",,"28.9",,
"Gomber, Austin",596295,"L","99.6",,"59.7","97.8","79.5","79.2","34.5",,
"Blubaugh, AJ",805123,"R","99.6",,,"86.3",,"86",,"55.1",
"Dreyer, Jack",676263,"L","99.6",,,,,"90.8","23.6",,
"Moreta, Dauri",664294,"R","99.6",,,,,,"16.3",,
"Paddack, Chris",663978,"R","99.5","99.1","58.4","97.3",,"89.1","24.1",,
"Yesavage, Trey",702056,"R","99.5",,,,"90.2",,"53.2",,
"Brebbia, John",605154,"R","99.5",,,"95.3",,,"42.9",,
"Giolito, Lucas",608337,"R","99.5",,,"99",,"90.2","29.7",,
"Stanek, Ryne",592773,"R","99.5",,,,"94.5",,"21.7","41.3",
"Hernández, Daysbel",678226,"R","99.5",,,,,,"17.9",,
"Lee, Dylan",669276,"L","99.4",,,"98.6",,,"43.5",,
"Myers, Tobias",668964,"R","99.4",,"71.3","98.3","90.9","61.2","42.1",,
"Heaney, Andrew",571760,"L","99.4","96.5",,"99.6",,"62.2","19.2",,
"Parker, Mitchell",680730,"L","99.4",,,,"92.2","51.7","20.4",,
"Imanaga, Shota",684007,"L","99.3","91.4",,,"95.1","80.2","23.6","35.1",
"Chivilli, Angel",683409,"R","99.3",,,"93.2",,,"25.7",,
"Cantillo, Joey",676282,"L","99.3",,,"98.1",,"95.5","39.2",,
"Gordon, Tanner",685299,"R","99.3",,,"94.3",,,"20",,
"Garcia, Rico",670329,"R","99.3",,,"98.5",,"54.5","14.8",,
"Ohl, Pierson",701487,"R","99.3",,"44.9","83.8",,"75.5",,,
"Ferrer, José A.",678606,"L","99.3","99.3",,"93.5",,,"16.3",,
"Palencia, Daniel",694037,"R","99.3",,,,"90.5",,"23.8",,
"Petty, Chase",695534,"R","99.3","98.8",,"99.1",,,"17.2","36.8",
"Poche, Colin",621363,"L","99.2",,,,,,"44.9",,
"Richards, Trevor",670950,"R","99.2",,,"61.3",,,"22.4",,
"Blalock, Bradley",687134,"R","99.2",,"50.7",,"92.8","61","34.6",,
"Anderson, Tyler",542881,"L","99.2","95.7","62.8","94.5",,,"33.2",,
"Marinaccio, Ron",676760,"R","99.2",,"46.2","92.8",,,,"45.3",
"Finnegan, Kyle",640448,"R","99.2",,,,"91.7",,"23.7",,
"Miller, Bobby",676272,"R","99.2","98.6",,"98.4",,"83.9","33.4",,
"Springs, Jeffrey",605488,"L","99.1",,"56.9","95.8",,,"30","55.8",
"Orze, Eric",679358,"R","99.1",,,,"75.3",,"40.9",,
"Quantrill, Cal",615698,"R","99.1","98.2","42.3",,"94.7","47","21.4",,
"Seabold, Connor",657756,"R","99.1",,"46","82",,,,,
"Duran, Jhoan",661395,"R","99.1",,,,"87.7","60.1",,"55.5",
"Dana, Caden",702674,"R","99",,,"97.4",,"96.5","32.9",,
"Molina, Anthony",683627,"R","99","99.4","78.1","93.3",,"30","56.8",,
"Estévez, Carlos",608032,"R","99",,,"86.5",,,"39.3",,
"Detmers, Reid",672282,"L","99","98.8",,,,"90.8","30",,
"Harvey, Hunter",640451,"R","99",,,,"86.2","87","23.1",,
"Farris, Mitch",815083,"L","99",,,"99.1",,,"15.3",,
"Halvorsen, Seth",678020,"R","99",,,,"91.9",,"32.2",,
"Yarbrough, Ryan",642232,"L","99","98.6","46.4","92.1",,,,"62",
"Petersen, Michael",656848,"R","99",,,,,,"29.2",,
"Fernandez, Ryan",681676,"R","98.9",,"57.7","90.8",,,"20.7",,
"Nelson, Ryne",669194,"R","98.9",,"62.2","99",,"63.5","34.4",,
"Falter, Bailey",663559,"L","98.9","98",,,"95.2","37.3","61.4",,"47.5"
"Pepiot, Ryan",686752,"R","98.8","94.8","65.2","80.5",,"82.6","50.8",,
"Whisenhunt, Carson",687931,"L","98.8",,,"93.7",,,"29",,
"Castro, Miguel",612434,"R","98.8","98",,"91.8",,,"48.7",,
"Ureña, José",570632,"R","98.8","97.3",,"98.9","85.3",,"50.1",,
"Morgan, Eli",669212,"R","98.7",,,"92.5",,,"17.2",,
"Estrada, Jeremiah",669093,"R","98.7",,,,"97.5",,"41.6",,
"De los Santos, Yerry",660787,"R","98.7","97.5",,"88.4",,,"22.9",,
"Sheehan, Emmet",686218,"R","98.7",,,"98.5",,"85","26.4",,
"Ragans, Cole",666142,"L","98.7",,"38.2","99.5",,"92","26",,
"Klein, Will",694361,"R","98.6",,"43.6",,,"82.8",,"38.2",
"Gordon, Colton",676467,"L","98.6","98",,"91.2",,"59.6","37.5","40.7",
"Loutos, Ryan",702795,"R","98.6","97.7",,"90.5",,,"38","43.1",
"Wacha, Michael",608379,"R","98.6","96.3","62.4","78.2",,"86.8","29.8",,
"Tong, Jonah",804636,"R","98.6",,,"98.9",,"80.5","35.8",,
"Harrison, Kyle",690986,"L","98.5","98.6","25","95.4",,,,,"41.1"
"Herget, Kevin",643361,"R","98.5",,"40.4","99.1",,,,,
"Maxwell, Zach",687209,"R","98.5",,"58.6",,,,,"31.4",
"Lara, Andry",691251,"R","98.4","98.3",,,"96.2",,"23.1",,
"Mattson, Isaac",676755,"R","98.4",,,"94.9",,,"40.1",,
"Brzykcy, Zach",694350,"R","98.4",,,"99.3",,"60",,,
"Harris, Hogan",663687,"L","98.3",,"67.5","99.2",,"95.9","34.5","70.1",
"Yoho, Craig",684974,"R","98.3",,"54.6","88.7",,,,"95.3",
"Effross, Scott",664123,"R","98.3","98.5",,"96.7",,,,"22.1",
"Peralta, Luis",678821,"L","98.3",,,"98",,"59.1",,,
"Estrada, Lazaro",681751,"R","98.3",,,,,"84.7","34.5",,
"Blanco, Ronel",669854,"R","98.2",,,"96.9",,"45","34.8",,
"Gausman, Kevin",592332,"R","98.2",,,,"85",,"19.4",,
"Vesia, Alex",681911,"L","98.2",,,"99.6",,,"43.1",,
"Lodolo, Nick",666157,"L","98.2","98.9",,"96",,"41.2",,,
"Anderson, Nick",623433,"R","98.2",,,"99",,"21.2",,,
"Mize, Casey",663554,"R","98.1","96.7",,,"94.7",,"41.7",,"32.6"
"Rangel, Alan",660604,"R","98.1",,,"93.6",,"98.4","44.1",,
"Lord, Brad",695418,"R","98.1","98.6",,"98.7",,,"13.8",,
"Latz, Jacob",656641,"L","98",,,"97",,"76.7","31.3",,
"Strahm, Matt",621381,"L","98","98.5","50.2",,,,"19.3",,
"Bednar, David",670280,"R","98",,,,"74.2","65",,,
"Montgomery, Mason",682254,"L","98",,,,,,"14.6",,
"Kremer, Dean",665152,"R","97.9","92.1","45.5",,"96.3","63.5",,,
"Sabrowski, Erik",681870,"L","97.9",,,,,"79.5","28.6",,
"Alvarado, Elvis",665660,"R","97.9","97.1",,"99.1",,,"26.9",,
"Bowden, Ben",641386,"L","97.9",,,"98.9",,,"26.2",,
"Henderson, Logan",701656,"R","97.9",,"58.2","94.5",,,"20.7",,
"Erceg, Lucas",668674,"R","97.8","98.2",,"95.6",,,"20.2",,
"Rodón, Carlos",607074,"L","97.8","80.8",,"79.3",,"71.8","20",,
"Maldonado, Anthony",687424,"R","97.8",,,,,,"21.3",,
"Darnell, Dugan",699911,"R","97.8",,,,"97.7",,"20.3",,
"Cortes, Nestor",641482,"L","97.7",,"58.5","92.8",,,,"40.9",
"Sears, JP",676664,"L","97.7","97.3","72","95.6",,"40.3","30.9","38.9",
"Lively, Ben",594902,"R","97.7","95.5","49.6","98.4",,"74.2","41.2","57.2",
"Curvelo, Luis",681168,"R","97.6","97.7",,"99.6",,,"24.8",,
"Romano, Jordan",605447,"R","97.6",,,,,,"18.5",,
"Smith-Shawver, AJ",700363,"R","97.5",,,,"85.2","78.4","54.5",,
"Anderson, Ian",666120,"R","97.5",,,"94.1",,"48.6",,,
"Beck, Tristan",663941,"R","97.5",,,,,"85.5","42.6","63.5",
"Hoffmann, Andrew",694851,"R","97.5",,,"95.6",,,"38.7",,
"Hoffman, Jeff",656546,"R","97.5","98.7",,,"95",,"19.6",,
"Harrington, Thomas",802419,"R","97.5","96.4","41.4",,"92.1",,,"48.8",
"Walker, Taijuan",592836,"R","97.4","96.2","57.3",,"79.9","68.1","30.9",,
"Kerkering, Orion",689147,"R","97.4","92",,,,,,"45.8",
"Kowar, Jackson",663804,"R","97.4",,,"84.3",,,"29.9",,
"Swanson, Erik",657024,"R","97.3",,,,"85.8",,"34.5",,
"Gonsolin, Tony",664062,"R","97.3",,,,"86.4","65.7","32.7",,
"Reynolds, Sean",669308,"R","97.2",,,"98.5",,,"30.6","58.2",
"Hendriks, Liam",521230,"R","97.1",,,,,"80.3","22.7",,
"Skenes, Paul",694973,"R","97.1","96.4",,"97.9","89.9","43","28.9","36.8",
"Jarvis, Bryce",686826,"R","97.1","95.2","27.6","95",,"81","31.2",,
"Sulser, Cole",642121,"R","97.1",,"44.8","83.3",,,,,
"Agnos, Zach",688642,"R","97.1",,"61.8",,"90.6",,,"61.2",
"Williams, Devin",642207,"R","97.1",,,"87.1",,,,,
"Legumina, Casey",668984,"R","97","96.1",,"89.5",,,,"44.8",
"Daniel, Davis",669721,"R","97",,,,"95.9",,"38.5","36.9",
"Fuentes, Didier",800311,"R","97",,,,,"79.2",,"50.4",
"Alcantara, Sandy",645261,"R","97","96.3","24","94",,,"23.4",,
"Greene, Hunter",668881,"R","96.9",,,,"87.5",,"42",,
"Gilbert, Logan",669302,"R","96.9","97.8",,,"57.2","66","16.9",,
"Devenski, Chris",606965,"R","96.9",,"35.9","90.4",,,,"49.6",
"Ort, Kaleb",672391,"R","96.9",,"61","96.2",,,,"50.9",
"Ryan, Joe",657746,"R","96.9","95.5",,,"80.1","73.3","33.1","63.1",
"Otañez, Michel",671305,"R","96.9","97.4",,,,,"13.9",,
"Manaea, Sean",640455,"L","96.9",,,"91.7",,,,"46.3",
"Holman, Grant",680880,"R","96.8",,,,"77.6",,"10.1",,
"Headrick, Brent",687396,"L","96.8",,,,"97.8",,"21.7",,
"Bradley, Taj",671737,"R","96.8","96.8","46.1",,"92.8","78.9",,,
"Liberatore, Matthew",669461,"L","96.8","92.9","51.6","96.1",,"94.4","22.6",,
"Strider, Spencer",675911,"R","96.7",,,"78.3",,"58.7","32.2",,
"Brogdon, Connor",641401,"R","96.7",,"40","97.4",,,,,
"Pérez, Martín",527048,"L","96.6","96.3","66.1","99.5",,"35.8",,,
"Hill, Tim",657612,"L","96.6","93","53.1",,,,,,
"Curtiss, John",595928,"R","96.6",,"47","78.2",,,"26.4",,
"Hiraldo, Yaramil",682274,"R","96.6",,,,"73.5",,"33",,
"Verlander, Justin",434378,"R","96.5",,,"94.1",,"67.5","34","48.3",
"Poulin, PJ",676571,"L","96.5","95.5",,"98.7",,,,"30.1",
"Smith, Cade",671922,"R","96.5",,,,"93.1",,,"38.9",
"Márquez, Germán",608566,"R","96.5","93.7",,"98.5",,"19.3","35",,
"López, Jorge",605347,"R","96.4","95",,"99",,"76.4","30.9",,
"Woods Richardson, Simeon",680573,"R","96.3",,,"86.2","92.1","82.7","46",,
"Enright, Nic",663671,"R","96.3",,,,,"46.6","20.7",,
"Taylor, Troy",700187,"R","96.3","93.9",,,,,,"61.4",
"Gray, Jon",592351,"R","96.3",,,"99.3",,,"31.9",,
"Martinez, Justin",679885,"R","96.2","93.9",,,"87.6",,"43.8",,
"Pérez, Eury",691587,"R","96.2","94.8","35.6","99.1",,"59.2","24.7","37",
"Warren, Austin",681810,"R","96.1","96.6","24.4",,,,,"49.4",
"Knack, Landon",689017,"R","96.1",,,"88.6",,"84.6","26.7",,
"Weaver, Luke",596133,"R","96",,"67.6","88.4",,,"52.3",,
"Enns, Dietrich",608650,"L","96","96.8","22.3","98.4",,"78.5",,,
"DeSclafani, Anthony",543101,"R","96","95.2",,,"72.4","63.2","36.3",,
"Banda, Anthony",607455,"L","95.9","94.2",,"99.1",,,"27.3",,
"McDermott, Chayce",694646,"R","95.9",,"38.5",,"73.6",,"34",,
"Ray, Robbie",592662,"L","95.8",,,"94.3",,"42.6","50.2","60.7",
"Booser, Cam",592155,"L","95.8",,"21.6","92",,,,"54.9",
"Williams, Gavin",668909,"R","95.8","98.7","59",,,"87.3",,"52",
"Bieber, Shane",669456,"R","95.8",,"33.9","89.6",,"81.6","13",,
"Nicolas, Kyle",693312,"R","95.8",,,,,"72.7","27.5",,
"Scott, Tayler",605463,"R","95.8","95.9",,,"77.5",,"21.9","43.5",
"Littell, Zack",641793,"R","95.8","94.4",,,"77.3",,"50.3","50.5",
"Zulueta, Yosver",691172,"R","95.8","94.1",,,,,"20.8",,
"Brown, McCade",685326,"R","95.8",,,"97.5",,"81.8","19.1",,
"Arias, Luarbert",678215,"R","95.8","96.8",,,"83.4",,"30.2",,
"Matthews, Zebby",805673,"R","95.7","95.5","52.5","98.9",,"49.7","18.1",,
"Akin, Keegan",669211,"L","95.7",,,"98.1",,,"25.6",,
"Gaddis, Hunter",683769,"R","95.7",,,"96.5",,,"50",,
"Baker, Bryan",641329,"R","95.7",,,"87.5",,,"44.8",,
"Sterner, Justin",686993,"R","95.7",,"31.7",,,,,"49",
"Yates, Kirby",489446,"R","95.6",,,,"98.1",,,,
"Sasaki, Roki",808963,"R","95.6",,,,"91.6",,,"43.4",
"Stephenson, Robert",596112,"R","95.6",,"16.1",,"96",,,,
"Eisert, Brandon",685126,"L","95.6","92.9",,"88.1",,,"41.5",,
"Perkins, Jack",678022,"R","95.6",,"52.4","96",,,,"37.6",
"Gibaut, Ian",664139,"R","95.6",,"58.3","97.4",,,"40.9","55.5",
"Wilson, Justin",458677,"L","95.6",,"63.7",,"89.3",,"24.6",,
"Leasure, Jordan",673929,"R","95.6","96",,,"93.3",,"35.7",,
"Milner, Hoby",571948,"L","95.6","92.1",,"95",,,,"63",
"Contreras, Roansy",672710,"R","95.6","96.4",,"99.4",,"62.1","27.4",,
"Pilkington, Konnor",663455,"L","95.5",,,"88.5",,,"12.6",,
